custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip
B6E3BE8,F50F401,Kemazhuu Vumyx Btazz                                             ,61 WATTS AVE                                                 ,                                                             ,                                                             ,CA     ,CHARLOTTETOWN                      ,Canada                                                       ,PE                           ,C1E 2B7    
38F4D2B,5594F98,Ttottat and Nottom Building Technologies Inc.                    ,205 5 AVE SW                                                 ,                                                             ,                                                             ,CA     ,CALGARY                            ,Canada                                                       ,AB                           ,T2P 2V7    
3FC31D6,BC824E3,Naxcot Reit Bettmatzhub c/o NcCot Management                     ,300-2550 12TH AVE                                            ,                                                             ,                                                             ,CA     ,REGINA                             ,Canada                                                       ,SK                           ,S4P 3X1    
6298F66,C8A8DCD,NUMTO EBETTNAMT LIMITED BETTMATZHUB                              ,220 4TH AVENUE SW                                            ,                                                             ,                                                             ,CA     ,CALGARY                            ,Canada                                                       ,AB                           ,T2P 0H7    
B313A4D,5594F98,UZXEMPAT OUX & GEZ INC                                           ,500 4 AVE SW                                                 ,SUITE 3000                                                   ,                                                             ,CA     ,CALGARY                            ,Canada                                                       ,AB                           ,T2P 2V6    
0ED1332,247EC7C,Chouca Properties LP                                             ,12/22 St. Clair Ave E                                        ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M4T 2S5    
8E804BD,F1D7789,KZ 1265 Bey Street Inc.                                          ,C/O BENTALLGREENOAK (CANADA) LIMITED PARTNERSHIP             ,130 BLOOR ST W                                               ,SUITE 502                                                    ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5S 1N5    
9706E07,E98FE1E,BUTCHUACO UMVAZTNAMTZ                                            ,1046 AUSTIN AVE                                              ,                                                             ,                                                             ,CA     ,COQUITLAM                          ,Canada                                                       ,BRITISH COLUMBIA             ,V3K 3P3    
F6FACFE,51F6103,TOBMOTCH BUILDING NEUMTAMEMCA LTD                                ,C/O CHAMPION PRODUCTS CORPORATION                            ,2601 WYANDOTTE STREET EAST                                   ,                                                             ,CA     ,WINDSOR                            ,Canada                                                       ,ONTARIO                      ,N8Y 2N5    
9E544F1,8ED1B78,QCZZ 2010 INC.                                                   ,1800 COURTNEY PARK DRIVE EAST                                ,UNIT 1                                                       ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,M5T 1W1    
367694C,C9F7B86,ST. GAOTGA'Z SCHOOL                                              ,4175 W. 29TH AVE.                                            ,                                                             ,                                                             ,CA     ,VANCOUVER                          ,Canada                                                       ,BRITISH COLUMBIA             ,V6S 1V1    
C7DCED8,A16D63A,CITY OF NUZZUZZEUGE                                              ,MISSISSAUGA CIVIC CENTRE - HWH                               ,300 CITY CENTRE DR                                           ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L5B 3C1    
C7DCED8,D706323,CITY OF NUZZUZZEUGE                                              ,DAVID RAMSAY POOL                                            ,2470 THORN LODGE DRIVE                                       ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L5P 3P5    
C7DCED8,BFA3B80,CITY OF NUZZUZZEUGE                                              ,MISSISSAUGA CIVIC CTR                                        ,300 CITY CENTRE DR.                                          ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ON                           ,L5B 3C1    
4E03146,FABDCF6,Coumttytoep Enterprises                                          ,COUNTRY ROAD ENTERPRISES                                     ,"1021 HALDIMAND ROAD 20, RR#2,                                ",C.R.E.                                                       ,CA     ,HAGERSVILLE                        ,Canada                                                       ,ONTARIO                      ,N0A 1H0    
0101465,BAF4F62,ZUMXUFA EZZUTEMCA CO. OF CANADA                                  ,3480 GILMORE WAY                                             ,                                                             ,                                                             ,CA     ,BURNABY                            ,Canada                                                       ,BRITISH COLUMBIA             ,V5G 4Y1    
